geometry	period	model	threshold	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
2.0:2.5	2025-10-01	UNFILTERED	—	84	20.39399999999894	1.0068419481133812	0.32142857142857145	45.04810742285744	0.24278571428570167	-4.448779727151933
2.0:2.5	2025-10-01	V4	0.55	48	421.0779999999973	1.2387860799325834	0.3333333333333333	29.498829179234864	8.772458333333278	3.981921526491584
2.0:2.5	2025-10-01	V4	0.60	51	349.79799999999756	1.1880340226340917	0.3333333333333333	31.891848252512233	6.858784313725442	0.1936840299039611
2.0:2.5	2025-10-01	V4	0.65	54	215.84099999999634	1.1022533145478144	0.35185185185185186	34.092721334580204	3.997055555555488	3.0288909543225135
2.0:2.5	2025-10-01	V4	0.70	56	484.3959999999966	1.229479554643018	0.375	25.17957907099247	8.64992857142851	9.665837739420065
2.0:2.5	2025-10-01	V4+v6-OR	0.40	7	146.89299999999957	1.683722532267749	0.2857142857142857	10.365581548748972	20.984714285714226	7.52782157658435
2.0:2.5	2025-10-01	V4+v6-OR	0.45	12	705.636	3.6096198936382784	0.5	8.142360466411573	58.803	66.73129422707194
2.0:2.5	2025-10-01	V4+v6-OR	0.50	19	497.16700000000037	1.8744611206579673	0.3684210526315789	14.040568312644517	26.166684210526334	27.0724110786346
2.0:2.5	2025-10-01	V4+v6-OR	0.55	23	219.64699999999948	1.259611304622243	0.30434782608695654	20.67568754085248	9.549869565217369	4.972861325828582
2.0:2.5	2025-10-01	V4+v6-OR	0.60	25	316.12999999999965	1.373649181323805	0.36	17.229629871869623	12.645199999999987	11.28454321825777
2.0:2.5	2025-10-01	V4+v6-OR	0.65	29	49.67999999999894	1.0405221550478132	0.3448275862068966	27.759134717293925	1.7131034482758256	8.003726663516906
2.0:2.5	2024-01-01	UNFILTERED	—	363	-39.43599999999648	0.9941297760693262	0.3443526170798898	46.547909469710376	-0.10863911845729059	-0.9493105072456994
2.0:2.5	2024-01-01	V4	0.55	131	988.3879999999986	1.3699695194417891	0.4122137404580153	23.01991103333737	7.544946564885485	20.922022071074032
2.0:2.5	2024-01-01	V4	0.60	141	738.3779999999992	1.2505397589331244	0.3900709219858156	26.663868293660443	5.236723404255314	13.188159883434073
2.0:2.5	2024-01-01	V4	0.65	163	545.3319999999994	1.158006104884052	0.3803680981595092	28.926267531203674	3.3455950920245363	9.427165660403954
2.0:2.5	2024-01-01	V4	0.70	179	770.4239999999995	1.2106904573924366	0.39106145251396646	22.00682563184676	4.304044692737428	12.201140733742834
2.0:2.5	2024-01-01	V4+v6-OR	0.40	17	212.7450000000008	1.598546573785439	0.47058823529411764	12.752867838608118	12.51441176470593	28.91951080299717
2.0:2.5	2024-01-01	V4+v6-OR	0.45	41	645.929000000001	1.9569729662459607	0.43902439024390244	12.482458182895302	15.75436585365856	17.510648481247305
2.0:2.5	2024-01-01	V4+v6-OR	0.50	65	504.9070000000024	1.437067180509968	0.4	17.532919615532908	7.767800000000038	10.287258186247819
2.0:2.5	2024-01-01	V4+v6-OR	0.55	85	291.4360000000006	1.1822829590239252	0.3764705882352941	19.753388668853077	3.428658823529419	5.501135705478866
2.0:2.5	2024-01-01	V4+v6-OR	0.60	101	681.869000000001	1.4013080919725325	0.42574257425742573	14.007711276553275	6.751178217821793	21.106387859244467
2.0:2.5	2024-01-01	V4+v6-OR	0.65	128	326.8070000000016	1.1364498741164148	0.390625	23.312824573520928	2.5531796875000126	12.149796236568973
2.5:3.0	2025-10-01	UNFILTERED	—	68	1822.7099999999973	1.7976091548417492	0.4117647058823529	20.051002003106113	26.804558823529373	23.309824089878774
2.5:3.0	2025-10-01	V4	0.55	41	1439.6809999999969	1.9427962591509134	0.43902439024390244	22.088879065623228	35.11417073170724	34.08133807671948
2.5:3.0	2025-10-01	V4	0.60	42	1817.185999999997	2.1900109558863474	0.4523809523809524	22.088879065623228	43.266333333333264	40.41273478917854
2.5:3.0	2025-10-01	V4	0.65	44	1737.973999999997	2.082010527659228	0.4318181818181818	22.490388287177637	39.49940909090902	35.601083933108676
2.5:3.0	2025-10-01	V4	0.70	47	1899.4139999999966	2.1344729344729316	0.44680851063829785	20.440895060312343	40.41306382978716	40.146236928575085
2.5:3.0	2025-10-01	V4+v6-OR	0.40	5	292.65599999999904	2.5215160258909703	0.4	12.952516530291922	58.53119999999981	41.15767554987791
2.5:3.0	2025-10-01	V4+v6-OR	0.45	9	743.550999999999	4.865715251241249	0.6666666666666666	7.915084194739046	82.61677777777767	101.8704908915658
2.5:3.0	2025-10-01	V4+v6-OR	0.50	12	712.5449999999992	3.2763197827649484	0.5833333333333334	8.063710275704437	59.37874999999993	81.01117184601726
2.5:3.0	2025-10-01	V4+v6-OR	0.55	16	474.3050000000003	1.8603938214833171	0.4375	12.40500401609041	29.644062500000018	35.75837888451295
2.5:3.0	2025-10-01	V4+v6-OR	0.60	18	826.8100000000004	2.434773932131921	0.4444444444444444	14.030951537008225	45.93388888888891	46.37193893274564
2.5:3.0	2025-10-01	V4+v6-OR	0.65	22	769.8380000000002	1.9540071776264278	0.4090909090909091	24.290906108149798	34.99263636363637	41.08216966821363
2.5:3.0	2024-01-01	UNFILTERED	—	307	946.5549999999982	1.1618030565240192	0.3583061889250814	60.1101462688305	3.083241042345271	-2.844275178150867
2.5:3.0	2024-01-01	V4	0.55	116	1875.4979999999982	1.724884213585786	0.46551724137931033	18.892640535331076	16.168086206896536	37.78230343294229
2.5:3.0	2024-01-01	V4	0.60	126	2144.678	1.783718283877975	0.4523809523809524	19.58467408696876	17.021253968253966	33.24438482422716
2.5:3.0	2024-01-01	V4	0.65	140	2105.817999999999	1.7100423364772115	0.4357142857142857	19.48908354103596	15.041557142857135	28.71990399802422
2.5:3.0	2024-01-01	V4	0.70	158	1916.7779999999984	1.5659247283128588	0.41139240506329117	25.513412857171264	12.131506329113915	22.201194130603582
2.5:3.0	2024-01-01	V4+v6-OR	0.40	14	321.86099999999897	1.9344038135494777	0.42857142857142855	12.702696991030308	22.990071428571355	38.39853279640839
2.5:3.0	2024-01-01	V4+v6-OR	0.45	34	889.406	2.547764770577704	0.5	8.25379868927207	26.159	61.15962844967101
2.5:3.0	2024-01-01	V4+v6-OR	0.50	52	932.726000000001	2.023972159097149	0.4423076923076923	10.011822996640444	17.93703846153848	42.64875675778057
2.5:3.0	2024-01-01	V4+v6-OR	0.55	71	681.1600000000021	1.488232840245595	0.4225352112676056	10.934006718565502	9.593802816901439	33.98825469845729
